model_component,feature,importance_pct,feature_group
allocate_flm_regressor,hash__Line Name__87,0.26062026619911194,Line Name category signal
allocate_flm_regressor,hash__Line Name__126,0.26052364706993103,Line Name category signal
allocate_flm_regressor,hash__Line Name__36,0.2605225145816803,Line Name category signal
allocate_flm_regressor,has_alloc_rec,0.2605099081993103,has_alloc_rec
allocate_flm_regressor,hash__Class Name__19,0.2605043053627014,Class Name category signal
allocate_flm_regressor,hash__Class Name__7,0.26045703887939453,Class Name category signal
allocate_flm_regressor,hash__Class Name__54,0.2604430913925171,Class Name category signal
allocate_flm_regressor,hash__Line Name__21,0.26043328642845154,Line Name category signal
allocate_flm_regressor,hash__Site__83,0.26042816042900085,Site category signal
allocate_flm_regressor,hash__Site__8,0.260392427444458,Site category signal
allocate_flm_regressor,hash__Site__50,0.2603847086429596,Site category signal
allocate_flm_regressor,hash__Site__93,0.2603707015514374,Site category signal
allocate_flm_regressor,hash__Line Name__56,0.2603422701358795,Line Name category signal
allocate_flm_regressor,rec_cost_value,0.26021653413772583,rec_cost_value
allocate_flm_regressor,weak_demand,0.26018625497817993,weak_demand
allocate_flm_regressor,hash__Site__67,0.26008108258247375,Site category signal
allocate_flm_regressor,hash__Class Name__49,0.2599104046821594,Class Name category signal
allocate_flm_regressor,hash__Class Name__18,0.25986528396606445,Class Name category signal
allocate_flm_regressor,hash__Site__28,0.25975146889686584,Site category signal
allocate_flm_regressor,hash__Line Name__48,0.25974491238594055,Line Name category signal
allocate_flm_regressor,hash__Rank__1,0.2597225308418274,Rank category signal
allocate_flm_regressor,hash__Site__46,0.2597196102142334,Site category signal
allocate_flm_regressor,hash__Site__77,0.25970232486724854,Site category signal
allocate_flm_regressor,hash__Line Name__127,0.25960347056388855,Line Name category signal
allocate_flm_regressor,hash__Line Name__28,0.25957757234573364,Line Name category signal
allocate_flm_regressor,hash__Site__85,0.25954902172088623,Site category signal
allocate_flm_regressor,hash__Site__89,0.2594418525695801,Site category signal
allocate_flm_regressor,hash__Line Name__42,0.25943541526794434,Line Name category signal
allocate_flm_regressor,hash__Line Name__60,0.25939029455184937,Line Name category signal
allocate_flm_regressor,hash__Line Name__22,0.2593461275100708,Line Name category signal
allocate_flm_regressor,hash__Class Name__75,0.25933828949928284,Class Name category signal
allocate_flm_regressor,hash__Site__57,0.25926485657691956,Site category signal
allocate_flm_regressor,hash__Flag__7,0.25921404361724854,Flag category signal
allocate_flm_regressor,d30_to_d60,0.2591876983642578,d30_to_d60
allocate_flm_regressor,hash__Site__34,0.2591559588909149,Site category signal
allocate_flm_regressor,hash__Rank__5,0.2590954005718231,Rank category signal
allocate_flm_regressor,hash__Line Name__109,0.25904813408851624,Line Name category signal
allocate_flm_regressor,hash__Class Name__74,0.2590251564979553,Class Name category signal
allocate_flm_regressor,hash__Class Name__62,0.2590247392654419,Class Name category signal
allocate_flm_regressor,hash__Site__92,0.2589801847934723,Site category signal
allocate_flm_regressor,hash__Class Name__41,0.2589739263057709,Class Name category signal
allocate_flm_regressor,hash__Site__17,0.25896701216697693,Site category signal
allocate_flm_regressor,hash__Line Name__80,0.258860319852829,Line Name category signal
allocate_flm_regressor,hash__Line Name__103,0.2588389813899994,Line Name category signal
allocate_flm_regressor,hash__Site__78,0.2588147222995758,Site category signal
allocate_flm_regressor,hash__Dc Avail Bucket__7,0.2587698996067047,Dc Avail Bucket category signal
allocate_flm_regressor,hash__Class Name__69,0.2587129473686218,Class Name category signal
allocate_flm_regressor,avg_demand,0.2586629092693329,avg_demand
allocate_flm_regressor,hash__Class Name__12,0.2586572766304016,Class Name category signal
allocate_flm_regressor,hash__Line Name__74,0.2586376368999481,Line Name category signal
allocate_flm_regressor,hash__Site__22,0.2584349513053894,Site category signal
allocate_flm_regressor,hash__Line Name__32,0.25842058658599854,Line Name category signal
allocate_flm_regressor,hash__Site__29,0.25831764936447144,Site category signal
allocate_flm_regressor,hash__Line Name__34,0.2583160996437073,Line Name category signal
allocate_flm_regressor,hash__Site__47,0.25817596912384033,Site category signal
allocate_flm_regressor,hash__Site__38,0.2580564618110657,Site category signal
allocate_flm_regressor,hash__Class Name__58,0.25804951786994934,Class Name category signal
allocate_flm_regressor,supply_to_d30,0.2579480707645416,supply_to_d30
allocate_flm_regressor,hash__Class Name__83,0.25790026783943176,Class Name category signal
allocate_flm_regressor,hash__Flag__0,0.2578689157962799,Flag category signal
allocate_flm_regressor,hash__Site__43,0.2576912045478821,Site category signal
allocate_flm_regressor,supply_to_proj,0.2576255798339844,supply_to_proj
allocate_flm_regressor,hash__Line Name__2,0.2575864791870117,Line Name category signal
allocate_flm_regressor,hash__Line Name__38,0.25748246908187866,Line Name category signal
allocate_flm_regressor,hash__Site__4,0.2574608325958252,Site category signal
allocate_flm_regressor,hash__Site__54,0.25739237666130066,Site category signal
allocate_flm_regressor,hash__Line Name__102,0.25737279653549194,Line Name category signal
allocate_flm_regressor,hash__Line Name__20,0.2572787404060364,Line Name category signal
allocate_flm_regressor,hash__Line Name__83,0.25719985365867615,Line Name category signal
